stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,4,0.537479,4.4030,28.00,29.00,31.00,46.00,113.00,28.05,18.54,16519.26,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,4,0.116425,0.9538,118.00,176.00,232.00,,,136.10,56.30,4967.69,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,4,0.401254,3.2871,77.00,79.00,82.00,160.00,237.00,78.10,66.84,2669.32,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,4,0.943815,7.7317,31.00,34.00,36.00,57.00,144.00,31.88,22.53,3603.91,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,4,0.193264,1.5832,175.00,183.00,237.00,,,163.70,58.04,13780.69,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,4,0.569736,4.6673,111.00,114.00,119.00,211.00,728.00,110.21,77.32,3380.79,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,4,2.243510,18.3788,26.00,30.00,32.00,49.00,124.00,26.67,11.94,7629.41,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,4,0.280673,2.2993,239.00,249.00,298.00,,,225.62,115.81,4779.01,,,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,5,0.039241,0.3215,24.00,24.00,29.00,44.00,106.00,24.14,14.91,13024.93,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,5,0.008505,0.0697,114.00,116.00,226.00,,,117.45,87.88,14118.68,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,5,0.015646,0.1282,62.00,64.00,67.00,131.00,175.00,62.91,51.48,3892.80,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,5,0.091213,0.7472,20.00,23.00,27.00,36.00,98.00,20.52,15.20,14255.57,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,5,0.015573,0.1276,115.00,227.00,395.00,,,128.15,77.38,4752.85,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,5,0.033333,0.2731,59.00,60.00,63.00,131.00,152.00,59.01,49.15,4675.86,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,5,0.158457,1.2981,23.00,24.00,29.00,45.00,106.00,23.73,15.57,3197.78,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,5,0.033292,0.2727,115.00,125.00,227.00,,,119.74,77.22,131382.73,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,5,0.063065,0.5166,61.00,64.00,67.00,138.00,222.00,62.40,53.16,3790.01,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,5,0.292070,2.3926,26.00,26.00,29.00,46.00,110.00,25.75,15.91,4334.24,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,5,0.066778,0.5470,115.00,165.00,172.00,,,119.09,78.59,4932.64,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,5,0.126928,1.0398,61.00,65.00,67.00,137.00,225.00,61.93,51.11,12262.22,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,5,0.544296,4.4589,27.00,28.00,30.00,52.00,113.00,27.70,18.36,5030.31,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,5,0.120742,0.9891,117.00,174.00,179.00,,,131.18,55.81,1639.00,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,5,0.229496,1.8800,68.00,70.00,72.00,149.00,234.00,68.45,61.09,3292.19,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,5,0.962023,7.8809,31.00,32.00,34.00,65.00,137.00,31.23,22.44,1470.92,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,5,0.195631,1.6026,174.00,183.00,235.00,,,161.65,58.22,14654.51,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,5,0.417927,3.4237,74.00,76.00,79.00,165.00,401.00,74.94,66.36,3483.48,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,5,2.207641,18.0850,26.00,30.00,31.00,52.00,123.00,27.14,10.87,610.91,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,5,0.278956,2.2852,239.00,250.00,299.00,,,227.02,118.18,4663.77,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,5,0.566013,4.6368,111.00,113.00,119.00,211.00,628.00,110.94,72.20,14221.73,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,6,0.007967,0.0653,114.00,225.00,396.00,,,125.41,87.47,5823.14,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,6,0.016195,0.1327,60.00,63.00,65.00,136.00,294.00,60.75,48.97,3359.39,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,6,0.039617,0.3245,23.00,25.00,29.00,47.00,105.00,23.89,15.78,4412.96,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,6,0.016485,0.1350,114.00,150.00,340.00,,,121.05,81.26,4332.78,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,6,0.032922,0.2697,61.00,63.00,65.00,134.00,187.00,59.75,50.67,9497.13,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,6,0.091512,0.7497,20.00,23.00,27.00,38.00,101.00,20.44,14.39,2802.26,0,0,0,0
