run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-envoy-permissive-pilot6-v1,pilot,6,grpc-envoy-permissive,64,22422,2,22418.000,1117.00,1467.00,44839,0,0,0,0,0,0.999822,0.999889,0.000000,0.982100,0.934449,1.916549,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot6-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot7-v1,pilot,7,grpc-envoy-permissive,64,30270,2,30266.000,1592.00,2088.00,60532,0,0,0,0,0,0.999868,0.999868,0.000000,0.981677,0.895931,1.877608,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot7-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot8-v1,pilot,8,grpc-envoy-permissive,64,40865,2,40866.000,3287.00,4774.00,81702,0,0,0,0,0,1.000024,0.999657,0.000000,0.981649,0.884811,1.866460,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot9-v1,pilot,9,grpc-envoy-permissive,64,55168,2,49971.000,110950.00,253588.00,104745,0,0,0,0,0,0.905797,0.949328,0.000000,0.980717,0.925663,1.906380,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v1,validate,9,grpc-envoy-permissive,64,55168,10,49741.000,515013.00,1151082.97,530585,0,0,0,6836,0,0.901628,0.961762,0.000000,0.996180,0.933159,1.929339,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-validate9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v2,validate,9,grpc-envoy-permissive,64,55168,10,49798.000,513394.00,1044907.00,530975,0,0,0,4577,0,0.902661,0.962469,0.000000,0.996067,0.936190,1.932257,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-validate9-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v1,backtrack,8,grpc-envoy-permissive,64,40865,10,40874.000,3217.00,4545.00,408619,0,0,0,0,0,1.000220,0.999924,0.000000,0.996827,0.902814,1.899641,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v2,backtrack,8,grpc-envoy-permissive,64,40865,10,40865.000,3310.00,4815.00,408619,0,0,0,0,0,1.000000,0.999924,0.000000,0.996218,0.894686,1.890904,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v1,refine,1,grpc-envoy-permissive,64,47481,10,47467.000,10540.00,17079.00,474732,0,0,0,0,0,0.999705,0.999836,0.000000,0.996091,0.907248,1.903339,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-refine1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v2,refine,1,grpc-envoy-permissive,64,47481,10,47461.000,10977.00,17929.00,474752,0,0,0,0,0,0.999579,0.999878,0.000000,0.996353,0.907984,1.904337,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-refine1-v2.result.attempt1.txt
