config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-linkerd,8192,bound,14027,3338.0,0.981129,0.402964,0.990233,0.406872,9004271.65,0.0,0
grpc-linkerd,8192,common,2698,2697.0,0.551795,0.49627,0.557659,0.5014240000000001,1054.0,0.0,1
grpc-linkerd,8192,common,8093,8092.0,0.981819,0.749992,0.9920150000000001,0.7578259999999999,4060.0,0.0,1
grpc-linkerd,8192,common,9711,9711.0,0.981744,0.78499,0.992059,0.793369,6583.0,0.0,1
grpc-linkerd-opaque,64,bound,2511,2510.0,0.164002,0.295931,0.165732,0.298281,546.0,0.0,1
grpc-linkerd-opaque,64,bound,7534,7534.0,0.482644,0.45707,0.487727,0.46187,573.0,0.0,1
grpc-linkerd-opaque,64,bound,15069,15069.0,0.904189,0.850086,0.91356,0.8589519999999999,242.0,0.0,1
grpc-linkerd-opaque,64,bound,25115,25115.0,0.982519,0.90853,0.9920169999999999,0.917598,1326.0,0.0,1
grpc-linkerd-opaque,64,bound,35160,35160.0,0.981954,0.876115,0.991984,0.885335,2620.0,0.0,1
grpc-linkerd-opaque,64,bound,42695,42697.0,0.982055,0.878184,0.992209,0.8872930000000001,5143.0,0.0,1
grpc-linkerd-opaque,64,bound,47718,47740.0,0.982575,0.899074,0.992232,0.9081680000000001,18382.0,0.0,1
grpc-linkerd-opaque,64,bound,50229,50209.0,0.981616,0.931405,0.991815,0.940874,50054.0,0.0,1
grpc-linkerd-opaque,64,bound,52740,48205.0,0.982843,0.916899,0.991954,0.926483,911960.0,0.0,0
grpc-linkerd-opaque,64,bound,57763,48490.0,0.981312,0.911017,0.99157,0.921543,1730556.65,0.0,0
grpc-linkerd-opaque,64,bound,65298,48362.0,0.982494,0.916422,0.991579,0.924771,2652128.92,0.0,0
grpc-linkerd-opaque,64,common,3925,3925.0,0.254924,0.375872,0.25765499999999997,0.38045799999999996,531.0,0.0,1
grpc-linkerd-opaque,64,common,7851,7851.0,0.502096,0.463898,0.507378,0.46862799999999993,505.0,0.0,1
grpc-linkerd-opaque,64,common,11776,11776.0,0.731237,0.671941,0.738787,0.678862,212.0,0.0,1
grpc-linkerd-opaque,64,common,14131,14131.0,0.8627,0.799151,0.8712949999999999,0.8072550000000001,216.0,0.0,1
grpc-linkerd-opaque,1024,bound,2202,2202.0,0.147794,0.315398,0.149264,0.31889199999999995,524.0,0.0,1
grpc-linkerd-opaque,1024,bound,6607,6607.0,0.435892,0.449252,0.44054499999999996,0.45397,617.0,0.0,1
grpc-linkerd-opaque,1024,bound,13215,13214.0,0.843648,0.779848,0.852308,0.787925,222.0,0.0,1
grpc-linkerd-opaque,1024,bound,22025,22025.0,0.981763,0.904284,0.9919560000000001,0.913683,1331.0,0.0,1
grpc-linkerd-opaque,1024,bound,30834,30833.0,0.982061,0.91597,0.9921930000000001,0.925477,2278.0,0.0,1
grpc-linkerd-opaque,1024,bound,37442,37438.0,0.981776,0.912581,0.992219,0.922341,4705.0,0.0,1
grpc-linkerd-opaque,1024,bound,41847,41846.0,0.981651,0.891283,0.991965,0.900471,15800.0,0.0,1
grpc-linkerd-opaque,1024,bound,44049,44047.0,0.981745,0.919282,0.992015,0.928981,27563.0,0.0,1
grpc-linkerd-opaque,1024,bound,46251,41325.0,0.981489,0.871757,0.991368,0.8795959999999999,1169123.51,0.0,0
grpc-linkerd-opaque,1024,bound,50656,41166.0,0.982667,0.871682,0.992188,0.879653,1998746.62,0.0,0
grpc-linkerd-opaque,1024,bound,57264,41262.0,0.981551,0.869735,0.991568,0.877467,2970723.82,0.0,0
grpc-linkerd-opaque,1024,common,3316,3316.0,0.223606,0.31498,0.22595200000000001,0.318372,496.0,0.0,1
grpc-linkerd-opaque,1024,common,6631,6631.0,0.444572,0.456634,0.44912399999999997,0.461647,617.0,0.0,1
grpc-linkerd-opaque,1024,common,9947,9946.0,0.637555,0.625405,0.644207,0.632216,650.0,0.0,1
grpc-linkerd-opaque,1024,common,11936,11936.0,0.77283,0.705188,0.780991,0.712628,227.0,0.0,1
grpc-linkerd-opaque,8192,bound,1278,1278.0,0.126064,0.200034,0.12731399999999998,0.201182,582.0,0.0,1
grpc-linkerd-opaque,8192,bound,3835,3835.0,0.373267,0.334065,0.377174,0.337557,234.0,0.0,1
grpc-linkerd-opaque,8192,bound,7670,7670.0,0.729697,0.649464,0.737225,0.656247,284.0,0.0,1
grpc-linkerd-opaque,8192,bound,12784,12784.0,0.981567,0.938844,0.991743,0.94887,1653.0,0.0,1
grpc-linkerd-opaque,8192,bound,17898,17899.0,0.981771,0.951519,0.99199,0.9613659999999999,2894.0,0.0,1
grpc-linkerd-opaque,8192,bound,21733,21734.0,0.981682,0.94047,0.9917940000000001,0.950345,5271.0,0.0,1
grpc-linkerd-opaque,8192,bound,24290,24298.0,0.981718,0.921875,0.992048,0.931373,10537.0,0.0,1
grpc-linkerd-opaque,8192,bound,25568,25568.0,0.981837,0.92743,0.9916929999999999,0.936817,31451.0,0.0,1
grpc-linkerd-opaque,8192,bound,26846,23775.0,0.981758,0.897126,0.990979,0.905527,1365790.51,0.0,0
grpc-linkerd-opaque,8192,bound,29403,23624.0,0.981886,0.898065,0.991181,0.905985,2049639.52,0.0,0
grpc-linkerd-opaque,8192,bound,33238,23717.0,0.982154,0.901144,0.9912970000000001,0.909359,3005400.99,0.0,0
grpc-linkerd-opaque,8192,common,2698,2698.0,0.259698,0.248492,0.262394,0.251123,509.0,0.0,1
grpc-linkerd-opaque,8192,common,5395,5395.0,0.513043,0.469566,0.518407,0.474479,246.0,0.0,1
grpc-linkerd-opaque,8192,common,8093,8092.0,0.775265,0.679658,0.783231,0.68669,284.0,0.0,1
grpc-linkerd-opaque,8192,common,9711,9711.0,0.879861,0.807579,0.8890290000000001,0.815974,279.0,0.0,1
grpc-tcp,64,bound,1694,1694.0,0.073775,0.233761,0.074266,0.235483,405.0,0.0,1
grpc-tcp,64,bound,5081,5081.0,0.225572,0.213779,0.227115,0.215212,324.0,0.0,1
grpc-tcp,64,bound,10163,10163.0,0.451038,0.404895,0.454058,0.407825,141.0,0.0,1
grpc-tcp,64,bound,16938,16937.0,0.759712,0.71304,0.764755,0.717625,311.0,0.0,1
grpc-tcp,64,bound,23713,23713.0,0.911986,0.80529,0.918172,0.810705,1225.0,0.0,1
grpc-tcp,64,bound,28795,28805.0,0.960473,0.899775,0.966972,0.905959,4285.0,0.0,1
grpc-tcp,64,bound,32182,32232.0,0.977252,0.963626,0.983871,0.970009,29314.0,0.0,1
grpc-tcp,64,bound,33876,33898.0,0.985671,0.981714,0.99228,0.988913,49284.0,0.0,1
grpc-tcp,64,bound,35570,28636.0,0.988657,0.98851,0.995974,0.995116,2042085.2,0.0,0
grpc-tcp,64,bound,38957,27629.0,0.98869,0.988852,0.995483,0.995546,3059100.86,0.0,0
grpc-tcp,64,bound,44039,28158.0,0.989134,0.989224,0.99541,0.995814,3678274.03,0.0,0
grpc-tcp,64,common,3925,3925.0,0.176405,0.167781,0.177601,0.168974,229.0,0.0,1
grpc-tcp,64,common,7851,7851.0,0.344064,0.400179,0.346373,0.403252,567.0,0.0,1
grpc-tcp,64,common,11776,11776.0,0.522829,0.470858,0.526347,0.474042,159.0,0.0,1
grpc-tcp,64,common,14131,14111.0,0.62912,0.611192,0.633403,0.614953,12458.0,0.0,1
grpc-tcp,1024,bound,1514,1514.0,0.067422,0.206426,0.067864,0.206945,421.0,0.0,1
grpc-tcp,1024,bound,4541,4541.0,0.207063,0.196238,0.20846,0.197492,248.0,0.0,1
grpc-tcp,1024,bound,9081,9081.0,0.412982,0.383293,0.415841,0.385911,521.0,0.0,1
grpc-tcp,1024,bound,15135,15134.0,0.697776,0.711162,0.702566,0.715138,309.0,0.0,1
grpc-tcp,1024,bound,21189,21189.0,0.904532,0.79024,0.910827,0.79575,795.0,0.0,1
grpc-tcp,1024,bound,25730,25743.0,0.970255,0.882245,0.976891,0.888318,5852.0,0.0,1
grpc-tcp,1024,bound,28757,28832.0,0.985583,0.966984,0.99239,0.97402,29332.0,0.0,1
grpc-tcp,1024,bound,30270,30247.0,0.988833,0.987877,0.99542,0.994727,63170.0,0.0,1
