arm,protocol,size,mode,rep,event,length,count
direct,grpc,65536,capacity,1,commit,264,6
direct,grpc,65536,capacity,1,commit,307,6
direct,grpc,65536,capacity,1,commit,320,3
direct,grpc,65536,capacity,1,commit,334,1
direct,grpc,65536,capacity,1,commit,343,1
direct,grpc,65536,capacity,1,commit,390,5
direct,grpc,65536,capacity,1,commit,417,1
direct,grpc,65536,capacity,1,commit,16011,4
direct,grpc,65536,capacity,1,commit,16081,4
direct,grpc,65536,capacity,1,commit,16094,7
direct,grpc,65536,capacity,1,commit,16152,1
direct,grpc,65536,capacity,1,commit,16179,1
direct,grpc,65536,capacity,1,commit,16184,30
direct,grpc,65536,capacity,1,commit,16206,24
direct,grpc,65536,capacity,1,commit,16392,134430
direct,grpc,65536,capacity,1,commit,16393,403504
direct,grpc,8192,capacity,1,commit,10,148683
direct,grpc,8192,capacity,1,commit,13,155536
direct,grpc,8192,capacity,1,commit,17,136
direct,grpc,8192,capacity,1,commit,36,64
direct,grpc,8192,capacity,1,commit,47,148661
direct,grpc,8192,capacity,1,commit,8212,148684
direct,grpc,8192,capacity,1,commit,8215,148663
direct,opaque,1024,capacity,1,commit,128,161
direct,opaque,1024,capacity,1,commit,1040,86472
direct,opaque,1024,capacity,1,commit,1168,115
direct,opaque,1024,capacity,1,commit,2080,114534
direct,opaque,1024,capacity,1,commit,3120,107341
direct,opaque,1024,capacity,1,commit,4160,77415
direct,opaque,1024,capacity,1,commit,5200,56980
direct,opaque,1024,capacity,1,commit,6240,43459
direct,opaque,1024,capacity,1,commit,7280,32617
direct,opaque,1024,capacity,1,commit,8192,276
direct,opaque,64,capacity,1,commit,80,124725
direct,opaque,64,capacity,1,commit,160,106601
direct,opaque,64,capacity,1,commit,240,83363
direct,opaque,64,capacity,1,commit,320,72328
direct,opaque,64,capacity,1,commit,400,53447
direct,opaque,64,capacity,1,commit,480,47674
direct,opaque,64,capacity,1,commit,560,29326
direct,opaque,64,capacity,1,commit,640,18353
