arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_publications_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_in_total,dmesh_worker_pe_progressed_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_tx_arena_copy_bytes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_tx_writer_wakes_total,dmesh_worker_data_progressed_total,dmesh_worker_drain_idle_total,dmesh_worker_notification_clears_total,dmesh_worker_drain_progressed_total,dmesh_tx_reserve_attempts_total
batch,opaque,64,capacity,clean,1,True,8.220092686009593,25.28,1125498,140676.0,425.0,1108.0,22.46116830061004,675951.0,0.0,0.0,0.0,675967.0,7769830.0,319037.0,0.0,675967.0,0.0,1690217.0,180079680.0,180079680.0,65944.0,0.0,4732564.0,2718229.0,1690217.0,4732564.0,675951.0
batch,opaque,64,capacity,clean,2,True,8.21726948209107,25.62,1137667,142393.0,423.0,1077.0,22.519770723770662,683241.0,0.0,0.0,0.0,683265.0,7853705.0,322169.0,0.0,683265.0,0.0,1708964.0,182026720.0,182026720.0,66042.0,0.0,4783452.0,2748084.0,1708964.0,4783452.0,683241.0
batch,opaque,64,capacity,clean,3,True,8.203545342083089,25.66,1139324,142593.0,422.0,1099.0,22.522127156103092,684237.0,0.0,0.0,0.0,684261.0,7864167.0,322393.0,0.0,684261.0,0.0,1708663.0,182291840.0,182291840.0,65807.0,0.0,4790488.0,2751286.0,1708663.0,4790488.0,684237.0
batch,opaque,64,capacity,trace,1,True,12.284709877101704,38.95,1460653,121870.0,480.0,1165.0,26.666155479775142,877558.0,0.0,0.0,0.0,877582.0,10080184.0,407588.0,0.0,877582.0,0.0,2182631.0,233704480.0,233704480.0,98353.0,0.0,6143702.0,3528894.0,2182631.0,6143702.0,877558.0
batch,opaque,64,matched,clean,1,True,8.208169427001849,12.15,160000,19999.0,262.0,485.0,75.9375,319224.0,0.0,0.0,0.0,319330.0,3685725.0,150306.0,0.0,319330.0,0.0,802528.0,25600000.0,25600000.0,59806.0,0.0,2234849.0,1300570.0,802528.0,2234849.0,319224.0
batch,opaque,64,matched,clean,2,True,8.258306305971928,12.12,160000,19999.0,255.0,484.0,75.75,319310.0,0.0,0.0,0.0,319425.0,3685858.0,150139.0,0.0,319425.0,0.0,801882.0,25600000.0,25600000.0,59826.0,0.0,2235482.0,1300237.0,801882.0,2235482.0,319310.0
batch,opaque,64,matched,clean,3,True,8.239772454020567,12.12,160000,20050.0,266.0,500.0,75.75,317905.0,0.0,0.0,0.0,318307.0,3670823.0,150159.0,0.0,318307.0,0.0,799153.0,25600000.0,25600000.0,59946.0,0.0,2225714.0,1294950.0,799153.0,2225714.0,317905.0
direct,grpc,1024,capacity,clean,1,True,8.537416207022034,53.01,278191,33524.0,1875.0,5344.0,190.5525340503467,,0.0,45690.0,0.0,207384.0,2276443.0,102445.0,0.0,207384.0,0.0,453706.0,601185272.0,601185272.0,67558.0,45690.0,1515723.0,658275.0,453706.0,1515723.0,
direct,grpc,1024,capacity,clean,2,True,8.54407031496521,54.0,282977,34104.0,1868.0,3223.0,190.82822985613672,,0.0,46021.0,0.0,212056.0,2312576.0,104163.0,0.0,212056.0,0.0,458401.0,611531288.0,611531288.0,65085.0,46021.0,1545749.0,662664.0,458401.0,1545749.0,
direct,grpc,1024,capacity,clean,3,True,8.45688535401132,53.85,283569,34188.0,1864.0,3752.0,189.90087068755753,,0.0,48015.0,0.0,210330.0,2308508.0,103344.0,0.0,210330.0,0.0,456944.0,612811586.0,612811586.0,64786.0,48015.0,1542358.0,662806.0,456944.0,1542358.0,
