run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-1024-envoy-permissive-pilot9-v1,pilot,9,envoy-permissive,1024,55168,2,55165.000,250.00,374.00,110333,0,10,0,0,0,0.999946,0.999973,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot9-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot10-v1,pilot,10,envoy-permissive,1024,74477,2,74472.000,280.00,373.00,148950,0,15,0,0,0,0.999933,0.999973,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot10-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot11-v1,pilot,11,envoy-permissive,1024,100544,2,100541.000,280.00,372.00,201087,0,24,0,0,0,0.999970,0.999995,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot11-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot12-v1,pilot,12,envoy-permissive,1024,135734,2,135722.000,258.00,388.00,271466,0,28,0,0,0,0.999912,0.999993,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot12-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot13-v1,pilot,13,envoy-permissive,1024,183241,2,183243.000,258.00,395.00,366463,0,37,0,0,0,1.000011,0.999948,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot13-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot14-v1,pilot,14,envoy-permissive,1024,247375,2,247371.000,261.00,399.00,494737,0,41,0,0,0,0.999984,0.999974,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot14-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot15-v1,pilot,15,envoy-permissive,1024,333956,2,333937.000,273.00,396.00,667894,0,73,0,0,0,0.999943,0.999973,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot15-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot16-v1,pilot,16,envoy-permissive,1024,450841,2,450855.000,287.00,408.00,901650,0,101,0,0,0,1.000031,0.999965,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot16-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot17-v1,pilot,17,envoy-permissive,1024,608635,2,608652.000,357.00,497.00,1217193,0,190,0,0,0,1.000028,0.999937,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot17-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot18-v1,pilot,18,envoy-permissive,1024,821657,2,821728.000,363.00,525.00,1643242,62,261,0,0,0,1.000086,0.999956,0.000038,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot18-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot19-v1,pilot,19,envoy-permissive,1024,1109237,2,1105809.000,545.00,775.00,2218333,7345,467,0,0,0,0.996910,0.999936,0.003311,0,generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot19-v1.result.attempt1.txt
scout-1024-envoy-permissive-validate19-v1,validate,19,envoy-permissive,1024,1109237,10,860193.000,2352.00,6489.00,11092124,2486059,5634,0,0,0,0.775482,0.999978,0.224128,0,achieved+generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-validate19-v1.result.attempt1.txt
scout-1024-envoy-permissive-validate19-v2,validate,19,envoy-permissive,1024,1109237,10,1106088.000,551.00,784.00,11092279,32399,472,0,0,0,0.997161,0.999992,0.002921,0,generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-validate19-v2.result.attempt1.txt
scout-1024-envoy-permissive-backtrack18-v1,backtrack,18,envoy-permissive,1024,821657,10,821645.000,370.00,520.00,8216544,421,268,0,0,0,0.999985,0.999997,0.000051,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-backtrack18-v1.result.attempt1.txt
scout-1024-envoy-permissive-backtrack18-v2,backtrack,18,envoy-permissive,1024,821657,10,821636.000,368.00,529.00,8216514,438,179,0,0,0,0.999974,0.999993,0.000053,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-backtrack18-v2.result.attempt1.txt
scout-1024-envoy-permissive-refine1-v1,refine,1,envoy-permissive,1024,954679,10,950324.000,667.00,1080.00,9546601,44329,457,0,0,0,0.995438,0.999980,0.004643,0,generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine1-v1.result.attempt1.txt
scout-1024-envoy-permissive-refine1-v2,refine,1,envoy-permissive,1024,954679,10,954642.000,406.00,583.00,9546693,1066,354,0,0,0,0.999961,0.999990,0.000112,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine1-v2.result.attempt1.txt
scout-1024-envoy-permissive-refine1-v3,refine,1,envoy-permissive,1024,954679,10,949937.000,673.00,1121.00,9546646,48357,496,0,0,0,0.995033,0.999985,0.005065,0,generator_drop,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine1-v3.result.attempt1.txt
scout-1024-envoy-permissive-refine2-v1,refine,2,envoy-permissive,1024,885674,10,885632.000,388.00,544.00,8856685,668,256,0,0,0,0.999953,0.999994,0.000075,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine2-v1.result.attempt1.txt
scout-1024-envoy-permissive-refine2-v2,refine,2,envoy-permissive,1024,885674,10,885633.000,389.00,552.00,8856722,761,304,0,0,0,0.999954,0.999998,0.000086,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine2-v2.result.attempt1.txt
scout-1024-envoy-permissive-refine3-v1,refine,3,envoy-permissive,1024,919529,10,919470.000,395.00,555.00,9195205,755,339,0,0,0,0.999936,0.999991,0.000082,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine3-v1.result.attempt1.txt
scout-1024-envoy-permissive-refine3-v2,refine,3,envoy-permissive,1024,919529,10,919480.000,394.00,562.00,9195183,947,312,0,0,0,0.999947,0.999988,0.000103,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine3-v2.result.attempt1.txt
scout-1024-envoy-permissive-refine4-v1,refine,4,envoy-permissive,1024,936939,10,936871.000,398.00,570.00,9369305,1067,326,0,0,0,0.999927,0.999991,0.000114,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine4-v1.result.attempt1.txt
scout-1024-envoy-permissive-refine4-v2,refine,4,envoy-permissive,1024,936939,10,936901.000,398.00,567.00,9369366,864,329,0,0,0,0.999959,0.999997,0.000092,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-refine4-v2.result.attempt1.txt
