config,body,rate,role,core,site,samples,cores,share
grpc-envoy-permissive,48,8000,client,20,kernel-sched,708,0.11429,0.21572
grpc-envoy-permissive,48,8000,client,20,kernel-net,487,0.07861,0.14839
grpc-envoy-permissive,48,8000,client,20,kernel-other,339,0.05472,0.10329
grpc-envoy-permissive,48,8000,client,20,kernel-syscall,244,0.03939,0.07434
grpc-envoy-permissive,48,8000,client,20,envoy-code,224,0.03616,0.06825
grpc-envoy-permissive,48,8000,client,20,libc,209,0.03374,0.06368
grpc-envoy-permissive,48,8000,client,20,kernel-poll,60,0.00969,0.01828
grpc-envoy-permissive,48,8000,client,20,vdso,15,0.00242,0.00457
grpc-envoy-permissive,48,8000,client,20,app-code,14,0.00226,0.00427
grpc-envoy-permissive,48,8000,server,21,grpc-code,1003,0.16194,0.32344
grpc-envoy-permissive,48,8000,server,21,kernel-sched,566,0.09138,0.18252
grpc-envoy-permissive,48,8000,server,21,kernel-net,462,0.07459,0.14898
grpc-envoy-permissive,48,8000,server,21,kernel-other,333,0.05376,0.10738
grpc-envoy-permissive,48,8000,server,21,kernel-syscall,222,0.03584,0.07159
grpc-envoy-permissive,48,8000,server,21,envoy-code,220,0.03552,0.07094
grpc-envoy-permissive,48,8000,server,21,libc,185,0.02987,0.05966
grpc-envoy-permissive,48,8000,server,21,kernel-poll,74,0.01195,0.02386
grpc-envoy-permissive,48,8000,server,21,vdso,34,0.00549,0.01096
grpc-envoy-permissive,48,8000,server,21,app-code,2,0.00032,0.00064
grpc-envoy-permissive,48,16000,client,20,grpc-code,1912,0.30759,0.31375
grpc-envoy-permissive,48,16000,client,20,kernel-sched,1416,0.2278,0.23236
grpc-envoy-permissive,48,16000,client,20,kernel-net,849,0.13658,0.13932
grpc-envoy-permissive,48,16000,client,20,kernel-other,614,0.09878,0.10075
grpc-envoy-permissive,48,16000,client,20,kernel-syscall,374,0.06017,0.06137
grpc-envoy-permissive,48,16000,client,20,envoy-code,371,0.05968,0.06088
grpc-envoy-permissive,48,16000,client,20,libc,360,0.05791,0.05907
grpc-envoy-permissive,48,16000,client,20,kernel-poll,135,0.02172,0.02215
grpc-envoy-permissive,48,16000,client,20,vdso,49,0.00788,0.00804
grpc-envoy-permissive,48,16000,client,20,app-code,14,0.00225,0.0023
grpc-envoy-permissive,48,16000,server,21,grpc-code,1966,0.31714,0.32854
grpc-envoy-permissive,48,16000,server,21,kernel-sched,1379,0.22245,0.23045
grpc-envoy-permissive,48,16000,server,21,kernel-net,807,0.13018,0.13486
grpc-envoy-permissive,48,16000,server,21,kernel-other,568,0.09163,0.09492
grpc-envoy-permissive,48,16000,server,21,libc,371,0.05985,0.062
grpc-envoy-permissive,48,16000,server,21,kernel-syscall,359,0.05791,0.05999
grpc-envoy-permissive,48,16000,server,21,envoy-code,318,0.0513,0.05314
grpc-envoy-permissive,48,16000,server,21,kernel-poll,139,0.02242,0.02323
grpc-envoy-permissive,48,16000,server,21,vdso,73,0.01178,0.0122
grpc-envoy-permissive,48,16000,server,21,app-code,4,0.00065,0.00067
grpc-envoy-permissive,48,24000,client,20,grpc-code,2401,0.38587,0.38595
grpc-envoy-permissive,48,24000,client,20,kernel-sched,1006,0.16168,0.16171
grpc-envoy-permissive,48,24000,client,20,kernel-net,879,0.14127,0.1413
grpc-envoy-permissive,48,24000,client,20,kernel-other,605,0.09723,0.09725
grpc-envoy-permissive,48,24000,client,20,libc,423,0.06798,0.068
grpc-envoy-permissive,48,24000,client,20,envoy-code,357,0.05737,0.05739
grpc-envoy-permissive,48,24000,client,20,kernel-syscall,326,0.05239,0.0524
grpc-envoy-permissive,48,24000,client,20,kernel-poll,137,0.02202,0.02202
grpc-envoy-permissive,48,24000,client,20,vdso,59,0.00948,0.00948
grpc-envoy-permissive,48,24000,client,20,app-code,28,0.0045,0.0045
grpc-envoy-permissive,48,24000,server,21,grpc-code,2348,0.37741,0.37786
grpc-envoy-permissive,48,24000,server,21,kernel-sched,1054,0.16942,0.16962
grpc-envoy-permissive,48,24000,server,21,kernel-net,848,0.13631,0.13647
grpc-envoy-permissive,48,24000,server,21,kernel-other,601,0.0966,0.09672
grpc-envoy-permissive,48,24000,server,21,libc,432,0.06944,0.06952
grpc-envoy-permissive,48,24000,server,21,kernel-syscall,388,0.06237,0.06244
grpc-envoy-permissive,48,24000,server,21,envoy-code,360,0.05787,0.05793
grpc-envoy-permissive,48,24000,server,21,kernel-poll,115,0.01848,0.01851
grpc-envoy-permissive,48,24000,server,21,vdso,66,0.01061,0.01062
grpc-envoy-permissive,48,24000,server,21,app-code,2,0.00032,0.00032
grpc-envoy-permissive,1008,20000,client,20,grpc-code,2156,0.3466,0.34668
grpc-envoy-permissive,1008,20000,client,20,kernel-sched,1093,0.17571,0.17575
grpc-envoy-permissive,1008,20000,client,20,kernel-net,962,0.15465,0.15469
grpc-envoy-permissive,1008,20000,client,20,kernel-other,654,0.10514,0.10516
grpc-envoy-permissive,1008,20000,client,20,libc,420,0.06752,0.06753
grpc-envoy-permissive,1008,20000,client,20,kernel-syscall,379,0.06093,0.06094
grpc-envoy-permissive,1008,20000,client,20,envoy-code,368,0.05916,0.05917
grpc-envoy-permissive,1008,20000,client,20,kernel-poll,135,0.0217,0.02171
grpc-envoy-permissive,1008,20000,client,20,vdso,33,0.00531,0.00531
grpc-envoy-permissive,1008,20000,client,20,app-code,19,0.00305,0.00306
grpc-envoy-permissive,1008,20000,server,21,grpc-code,2099,0.33706,0.33762
grpc-envoy-permissive,1008,20000,server,21,kernel-sched,1162,0.18659,0.18691
grpc-envoy-permissive,1008,20000,server,21,kernel-net,947,0.15207,0.15232
grpc-envoy-permissive,1008,20000,server,21,kernel-other,626,0.10052,0.10069
grpc-envoy-permissive,1008,20000,server,21,libc,406,0.0652,0.0653
grpc-envoy-permissive,1008,20000,server,21,kernel-syscall,399,0.06407,0.06418
grpc-envoy-permissive,1008,20000,server,21,envoy-code,372,0.05974,0.05984
grpc-envoy-permissive,1008,20000,server,21,kernel-poll,132,0.0212,0.02123
grpc-envoy-permissive,1008,20000,server,21,vdso,69,0.01108,0.0111
grpc-envoy-permissive,1008,20000,server,21,app-code,5,0.0008,0.0008
grpc-envoy-strict,48,8000,client,24,grpc-code,1016,0.16522,0.29204
grpc-envoy-strict,48,8000,client,24,kernel-sched,708,0.11513,0.20351
grpc-envoy-strict,48,8000,client,24,kernel-net,508,0.08261,0.14602
grpc-envoy-strict,48,8000,client,24,kernel-other,371,0.06033,0.10664
