run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-l7-pass-8192-84372-r1,l7-pass,rate,8192,8,,84372,0.084370,11.0585,196.00,479.00,4337.00,7586.00,0,0,58011,420237,0:140614;1:140608;2:140615
rate-l7-pass-8192-84372-r2,l7-pass,rate,8192,8,,84372,0.084371,11.0587,182.00,502.00,4158.00,7443.00,0,0,33549,420248,0:140618;1:140615;2:140615
rate-l7-pass-8192-101246-r1,l7-pass,rate,8192,8,,101246,0.101242,13.2700,188.00,741.00,1747.00,8006.00,0,0,76708,504606,0:168740;1:168734;2:168732
rate-l7-pass-8192-101246-r2,l7-pass,rate,8192,8,,101246,0.101242,13.2700,185.00,638.00,1109.00,5251.00,0,0,76565,504599,0:168734;1:168730;2:168735
knee-l7-pass-8192-101234-r1,l7-pass,knee,8192,8,,101234,0.101232,13.2687,185.00,551.00,926.00,9523.00,0,0,83383,504553,0:168718;1:168717;2:168718
knee-l7-pass-8192-101234-r2,l7-pass,knee,8192,8,,101234,0.101231,13.2686,183.00,530.00,842.00,1680.00,0,0,81230,504550,0:168718;1:168716;2:168716
closed-l7-pass-8192-c32-r1,l7-pass,closed,8192,8,32,,0.218872,28.6879,596.00,648.00,1809.00,24939.00,0,0,250284,1093606,0:365065;1:365081;2:365060
closed-l7-pass-8192-c1-r1,l7-pass,closed,8192,1,1,,0.003813,0.4998,253.00,541.00,613.00,672.00,0,0,0,18853,0:6351;1:6351;2:6351
closed-l7-pass-8192-c32-r2,l7-pass,closed,8192,8,32,,0.219281,28.7416,594.00,649.00,4178.00,23192.00,0,0,249902,1095653,0:365754;1:365753;2:365746
closed-l7-pass-8192-c1-r2,l7-pass,closed,8192,1,1,,0.003587,0.4701,267.00,552.00,615.00,699.00,0,0,0,17775,0:5992;1:5992;2:5991
rate-l7-conn-64-42182-r1,l7-conn,rate,64,8,,42182,0.042181,0.0432,155.00,1053.00,1270.00,1935.00,0,0,0,209300,0:210900
rate-l7-conn-64-42182-r2,l7-conn,rate,64,8,,42182,0.042180,0.0432,156.00,886.00,1259.00,1290.00,0,0,0,209304,0:210904
rate-l7-conn-64-84365-r1,l7-conn,rate,64,8,,84365,0.084359,0.0864,746.00,1206.00,1297.00,1442.00,0,0,0,420189,0:421789
rate-l7-conn-64-84365-r2,l7-conn,rate,64,8,,84365,0.084352,0.0864,797.00,1212.00,1297.00,1425.00,0,0,0,420142,0:421742
rate-l7-conn-64-126547-r1,l7-conn,rate,64,8,,126547,0.126545,0.1296,879.00,1247.00,1318.00,1579.00,0,0,0,631017,0:632617
