config,body,rate,role,core,site,samples,cores,share
dpumesh-preload,48,400000,server,19,kernel-sched,455,0.07744,0.35409
dpumesh-preload,48,400000,server,19,kernel-syscall,201,0.03421,0.15642
dpumesh-preload,48,400000,server,19,libc,148,0.02519,0.11518
dpumesh-preload,48,400000,server,19,transport-code,132,0.02247,0.10272
dpumesh-preload,48,400000,server,19,kernel-poll,97,0.01651,0.07549
dpumesh-preload,48,400000,server,19,kernel-other,94,0.016,0.07315
dpumesh-preload,48,400000,server,19,kernel-net,69,0.01174,0.0537
dpumesh-preload,48,400000,server,19,driver-code,53,0.00902,0.04125
dpumesh-preload,48,400000,server,19,app-code,34,0.00579,0.02646
dpumesh-preload,48,400000,server,19,vdso,2,0.00034,0.00156
dpumesh-preload,1008,300000,client,18,kernel-sched,1726,0.28337,0.39488
dpumesh-preload,1008,300000,client,18,kernel-syscall,682,0.11197,0.15603
dpumesh-preload,1008,300000,client,18,libc,635,0.10425,0.14528
dpumesh-preload,1008,300000,client,18,kernel-other,320,0.05254,0.07321
dpumesh-preload,1008,300000,client,18,transport-code,294,0.04827,0.06726
dpumesh-preload,1008,300000,client,18,kernel-poll,240,0.0394,0.05491
dpumesh-preload,1008,300000,client,18,kernel-net,153,0.02512,0.035
dpumesh-preload,1008,300000,client,18,app-code,150,0.02463,0.03432
dpumesh-preload,1008,300000,client,18,vdso,104,0.01707,0.02379
dpumesh-preload,1008,300000,client,18,driver-code,67,0.011,0.01533
dpumesh-preload,1008,300000,server,19,kernel-sched,967,0.16157,0.35961
dpumesh-preload,1008,300000,server,19,kernel-syscall,439,0.07335,0.16326
dpumesh-preload,1008,300000,server,19,libc,379,0.06332,0.14094
dpumesh-preload,1008,300000,server,19,transport-code,243,0.0406,0.09037
dpumesh-preload,1008,300000,server,19,kernel-poll,215,0.03592,0.07996
dpumesh-preload,1008,300000,server,19,kernel-other,187,0.03124,0.06954
dpumesh-preload,1008,300000,server,19,kernel-net,132,0.02206,0.04909
dpumesh-preload,1008,300000,server,19,driver-code,84,0.01404,0.03124
dpumesh-preload,1008,300000,server,19,app-code,31,0.00518,0.01153
dpumesh-preload,1008,300000,server,19,vdso,12,0.00201,0.00446
envoy-permissive,48,120000,client,20,kernel-net,1805,0.28944,0.28949
envoy-permissive,48,120000,client,20,kernel-sched,1557,0.24967,0.24972
envoy-permissive,48,120000,client,20,kernel-other,1138,0.18248,0.18252
envoy-permissive,48,120000,client,20,envoy-code,702,0.11257,0.11259
envoy-permissive,48,120000,client,20,kernel-syscall,529,0.08483,0.08484
envoy-permissive,48,120000,client,20,libc,210,0.03367,0.03368
envoy-permissive,48,120000,client,20,kernel-poll,207,0.03319,0.0332
envoy-permissive,48,120000,client,20,app-code,46,0.00738,0.00738
