arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_writer_wakes_total,dmesh_worker_drain_progressed_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_tx_errors_total,dmesh_worker_maintenances_total,dmesh_worker_cross_in_total,dmesh_tx_accepted_bytes_total,dmesh_tx_reserve_attempts_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_idle_total,dmesh_worker_cross_out_total,dmesh_tx_publications_total,dmesh_worker_data_progressed_total,dmesh_tx_retries_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total
lean2,grpc,64,capacity,clean,2,True,8.539657843997702,52.61,297704,35966.0,1777.0,2825.0,176.71915728374492,0.0,1465919.0,219478.0,127068.0,0.0,65496.0,0.0,70265600.0,219744.0,637579.0,219478.0,2567644.0,974657.0,0.0,219744.0,1465919.0,0.0,70265600.0,637579.0
lean2,grpc,64,capacity,clean,3,True,8.542827072087675,53.21,300936,36276.0,1773.0,2632.0,176.8150038546402,0.0,1476230.0,221143.0,127299.0,0.0,68530.0,0.0,71029566.0,221415.0,643777.0,221143.0,2590031.0,986502.0,0.0,221415.0,1476230.0,0.0,71029566.0,643777.0
lean2,grpc,64,matched,clean,1,True,8.520209536072798,53.01,159999,19999.0,962.0,1935.0,331.31457071606695,0.0,1690150.0,262146.0,120810.0,0.0,66030.0,0.0,37768131.0,262335.0,666234.0,262146.0,2853802.0,1042842.0,0.0,262335.0,1690150.0,0.0,37768131.0,666234.0
lean2,grpc,64,matched,clean,2,True,8.546150672947988,52.97,160000,19999.0,966.0,1921.0,331.0625,0.0,1700161.0,263268.0,121313.0,0.0,65548.0,0.0,37768367.0,263464.0,671153.0,263268.0,2872370.0,1050896.0,0.0,263464.0,1700161.0,0.0,37768367.0,671153.0
lean2,grpc,64,matched,clean,3,True,8.520512253977358,52.87,159999,20000.0,973.0,2036.0,330.4395652472828,0.0,1679282.0,260090.0,119031.0,0.0,66012.0,0.0,37768165.0,260291.0,661155.0,260090.0,2833727.0,1035414.0,0.0,260291.0,1679282.0,0.0,37768165.0,661155.0
lean2,grpc,65536,capacity,clean,4,True,8.491155714029446,64.02,109300,13183.0,4841.0,7242.0,585.7273559011893,0.0,2761974.0,1902660.0,34317.0,0.0,67707.0,0.0,14352864927.0,1481850.0,153122.0,1902660.0,3005175.0,208884.0,0.0,1481850.0,2761974.0,0.0,14352864927.0,153122.0
lean2,grpc,65536,capacity,clean,5,True,8.529677666025236,64.11,108681,13114.0,4866.0,7296.0,589.8915173765423,0.0,2737325.0,1891680.0,33301.0,0.0,68286.0,0.0,14270581482.0,1473528.0,150912.0,1891680.0,2977492.0,206866.0,0.0,1473528.0,2737325.0,0.0,14270581482.0,150912.0
lean2,grpc,65536,capacity,clean,6,True,8.480520064942539,64.15,109302,13167.0,4853.0,7178.0,586.9060035497979,8.0,2730543.0,1900228.0,33953.0,0.0,70728.0,0.0,14351852293.0,1479518.0,154148.0,1900228.0,2977971.0,213475.0,0.0,1479518.0,2730543.0,8.0,14351852293.0,154148.0
lean2,grpc,65536,capacity,stat,1,True,12.515229666954838,95.21,162696,13226.0,4815.0,7291.0,585.2018488469292,8.0,4015694.0,2827629.0,47567.0,0.0,98189.0,0.0,21364024623.0,2201361.0,214132.0,2827629.0,4357829.0,294568.0,0.0,2201361.0,4015694.0,8.0,21364024623.0,214132.0
lean2,grpc,65536,capacity,stat,2,True,12.528282743995078,95.06,161340,13119.0,4872.0,7235.0,589.1905293169704,8.0,4038823.0,2807020.0,50213.0,0.0,98350.0,0.0,21185731327.0,2186219.0,220591.0,2807020.0,4389821.0,300785.0,0.0,2186219.0,4038823.0,8.0,21185731327.0,220591.0
