run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-dpumesh-refine1-v2,refine,1,grpc-dpumesh,64,26052,10,26077.000,246.00,205619.00,260519,0,0,0,0,0,1.000960,0.999996,0.000000,0.803774,0.798318,1.602092,2,2.178891,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine1-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v1,refine,2,grpc-dpumesh,64,28082,10,28082.000,257.00,379640.00,280819,0,0,0,0,0,1.000000,0.999996,0.000000,0.864906,0.838122,1.703028,2,2.279759,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine2-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v2,refine,2,grpc-dpumesh,64,28082,10,25989.000,331155.00,957458.00,280489,0,0,0,250,0,0.925468,0.998821,0.000000,0.905236,0.942659,1.847895,2,1.597897,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine2-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v3,refine,2,grpc-dpumesh,64,28082,10,28092.000,314.00,437261.00,280819,0,0,0,0,0,1.000356,0.999996,0.000000,0.856031,0.870566,1.726597,2,2.298239,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine2-v3.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v1,refine,3,grpc-dpumesh,64,29155,10,29118.000,362.00,501971.00,291549,0,0,0,0,0,0.998731,0.999997,0.000000,0.896321,0.880366,1.776687,2,2.258184,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine3-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v2,refine,3,grpc-dpumesh,64,29155,10,29162.000,268.00,40497.00,291549,0,0,0,0,0,1.000240,0.999997,0.000000,0.875178,0.861327,1.736505,2,2.415173,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine3-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v1,refine,4,grpc-dpumesh,64,29707,10,29067.000,1092.00,166926.00,296835,0,0,0,0,0,0.978456,0.999209,0.000000,0.755891,0.740787,1.496678,2,1.859418,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine4-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v2,refine,4,grpc-dpumesh,64,29707,10,27926.000,101909.00,659016.00,297069,0,0,0,0,0,0.940048,0.999997,0.000000,0.932235,0.904105,1.836340,2,1.732190,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine4-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot1-v1,pilot,1,grpc-envoy-permissive,64,5000,2,4998.000,181.00,463.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.343569,0.316036,0.659605,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot2-v1,pilot,2,grpc-envoy-permissive,64,6750,2,6747.000,180.00,230.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.463013,0.405033,0.868046,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot2-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot3-v1,pilot,3,grpc-envoy-permissive,64,9113,2,9110.000,225.00,708.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.619776,0.583559,1.203335,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot3-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot4-v1,pilot,4,grpc-envoy-permissive,64,12303,2,12300.000,197.00,260.00,24606,0,0,0,0,0,0.999756,1.000000,0.000000,0.807655,0.725310,1.532965,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot4-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot5-v1,pilot,5,grpc-envoy-permissive,64,16609,2,16605.000,528.00,874.00,33216,0,0,0,0,0,0.999759,0.999940,0.000000,0.982101,0.927872,1.909973,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot5-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot6-v1,pilot,6,grpc-envoy-permissive,64,22422,2,22421.000,1135.00,1475.00,44836,0,0,0,0,0,0.999955,0.999822,0.000000,0.982037,0.939601,1.921638,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot6-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot7-v1,pilot,7,grpc-envoy-permissive,64,30270,2,30264.000,1582.00,2124.00,60528,0,0,0,0,0,0.999802,0.999802,0.000000,0.981871,0.921837,1.903708,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot7-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot8-v1,pilot,8,grpc-envoy-permissive,64,40865,2,40898.000,3485.00,5642.00,81704,0,0,0,0,0,1.000808,0.999682,0.000000,0.981508,0.930634,1.912142,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot9-v1,pilot,9,grpc-envoy-permissive,64,55168,2,47993.000,183089.00,305332.00,103009,0,0,0,0,0,0.869943,0.933594,0.000000,0.982426,0.957437,1.939863,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v1,validate,9,grpc-envoy-permissive,64,55168,10,49525.000,545619.00,1249975.51,527852,0,0,0,16748,0,0.897712,0.956808,0.000000,0.996259,0.941972,1.938231,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-validate9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v2,validate,9,grpc-envoy-permissive,64,55168,10,49592.000,546310.00,1154929.82,515747,0,0,0,7102,0,0.898927,0.934866,0.000000,0.996118,0.941892,1.938010,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-validate9-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v1,backtrack,8,grpc-envoy-permissive,64,40865,10,40862.000,3155.00,4374.00,408648,0,0,0,0,0,0.999927,0.999995,0.000000,0.996210,0.899423,1.895633,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v2,backtrack,8,grpc-envoy-permissive,64,40865,10,40860.000,3267.00,4657.00,408648,0,0,0,0,0,0.999878,0.999995,0.000000,0.996161,0.892531,1.888692,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v1,refine,1,grpc-envoy-permissive,64,47481,10,47471.000,10187.00,16518.00,474779,0,0,0,0,0,0.999789,0.999935,0.000000,0.996197,0.908852,1.905049,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v2,refine,1,grpc-envoy-permissive,64,47481,10,47478.000,10551.00,16467.00,474731,0,0,0,0,0,0.999937,0.999834,0.000000,0.996110,0.908731,1.904841,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine1-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine2-v1,refine,2,grpc-envoy-permissive,64,51180,10,51179.000,18367.00,33062.00,511548,0,0,0,0,0,0.999980,0.999508,0.000000,0.996331,0.944465,1.940796,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine2-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine2-v2,refine,2,grpc-envoy-permissive,64,51180,10,51145.000,17964.00,34237.00,511577,0,0,0,0,0,0.999316,0.999564,0.000000,0.996281,0.948644,1.944925,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine2-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine3-v1,refine,3,grpc-envoy-permissive,64,53137,10,49956.000,301919.00,661211.00,513280,0,0,0,0,0,0.940136,0.965956,0.000000,0.996124,0.944168,1.940292,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine3-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine3-v2,refine,3,grpc-envoy-permissive,64,53137,10,49965.000,309428.00,687839.00,518531,0,0,0,0,0,0.940305,0.975838,0.000000,0.996352,0.942907,1.939259,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine3-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine4-v1,refine,4,grpc-envoy-permissive,64,52149,10,50814.000,58008.00,322003.00,514735,0,0,0,0,0,0.974400,0.987047,0.000000,0.996134,0.950739,1.946873,2,NA,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine4-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine4-v2,refine,4,grpc-envoy-permissive,64,52149,10,52092.000,24842.00,97479.00,520402,0,0,0,0,0,0.998907,0.997914,0.000000,0.996271,0.960636,1.956907,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine4-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine4-v3,refine,4,grpc-envoy-permissive,64,52149,10,51383.000,35543.00,185966.00,518226,0,0,0,0,0,0.985311,0.993741,0.000000,0.996084,0.957275,1.953359,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine4-v3.result.attempt1.txt
scout-64-grpc-envoy-strict-pilot1-v1,pilot,1,grpc-envoy-strict,64,5000,2,4998.000,216.00,736.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.356552,0.507540,0.864092,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-strict-pilot1-v1.result.attempt1.txt
scout-64-grpc-envoy-strict-pilot2-v1,pilot,2,grpc-envoy-strict,64,6750,2,6747.000,186.00,227.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.482676,0.417488,0.900164,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-strict-pilot2-v1.result.attempt1.txt
