arm,protocol,size,mode,rep,symbol,self_percent
batch,grpc,1024,capacity,1,<tokio::time::sleep::Sleep as core::future::future::Future>::poll,0.1
batch,grpc,1024,capacity,1,bytes::bytes_mut::shared_v_drop,0.1
batch,grpc,1024,capacity,1,dmesh_l7_driver_stopped,0.1
batch,grpc,1024,capacity,1,tokio_util::sync::mpsc::make_acquire_future::_$u7b$$u7b$closure$u7d$$u7d$::h050ad1166d110b85,0.1
batch,grpc,1024,capacity,1,"linkerd_http_prom::record_response::request::<impl tower_service::Service<http::request::Request<ReqB>> for linkerd_http_prom::record_response::RecordDuration<L,linkerd_http_prom::record_response::request::RequestMetrics<<L as linkerd_http_prom::stream_label::MkStreamLabel>::DurationLabels>,S>>::call",0.1
batch,grpc,1024,capacity,1,0x00000000000b03bc,0.1
batch,grpc,1024,capacity,1,0x0000000000005994,0.1
batch,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::Core::next_task,0.1
batch,grpc,1024,capacity,1,tokio::runtime::task::raw::dealloc,0.1
batch,grpc,1024,capacity,1,"h2::proto::streams::streams::Streams<B,P>::has_streams_or_other_references",0.09
batch,grpc,1024,capacity,1,bytes::bytes_mut::BytesMut::split_to,0.09
batch,grpc,1024,capacity,1,"indexmap::map::IndexMap<K,V,S>::insert_full",0.09
batch,grpc,1024,capacity,1,_rjem_je_hook_invoke_alloc,0.09
batch,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::release_capacity,0.09
batch,grpc,1024,capacity,1,hyper::headers::content_length_parse_all,0.09
batch,grpc,1024,capacity,1,tokio::runtime::scheduler::defer::Defer::defer,0.09
batch,grpc,1024,capacity,1,"<linkerd_stack_tracing::Instrument<T,G,S> as tower_service::Service<Req>>::call",0.09
batch,grpc,1024,capacity,1,pfn_is_map_memory,0.09
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<alloc::vec::drain::Drain<linkerd_proxy_tap::grpc::server::TapResponsePayload>>,0.09
batch,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_trailers,0.09
batch,grpc,1024,capacity,1,doca_task_try_submit,0.09
batch,grpc,1024,capacity,1,http::header::name::HdrName::from_bytes,0.09
batch,grpc,1024,capacity,1,0x000000000007687c,0.09
batch,grpc,1024,capacity,1,tokio::runtime::time::<impl tokio::runtime::time::handle::Handle>::reregister,0.09
batch,grpc,1024,capacity,1,<tokio::sync::batch_semaphore::Acquire as core::future::future::Future>::poll,0.09
batch,grpc,1024,capacity,1,<h2::client::ResponseFuture as core::future::future::Future>::poll,0.09
batch,grpc,1024,capacity,1,h2::proto::streams::streams::StreamRef<B>::poll_reset,0.09
batch,grpc,1024,capacity,1,"hashbrown::raw::RawTable<T,A>::reserve_rehash",0.09
batch,grpc,1024,capacity,1,ktime_get_ts64,0.09
