arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_worker_drain_calls_total,dmesh_worker_arms_total,dmesh_tx_writer_wakes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_worker_local_completions_total,dmesh_worker_drain_progressed_total,dmesh_worker_drain_idle_total,dmesh_tx_publications_total,dmesh_tx_reserve_attempts_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_notification_clears_total,dmesh_worker_cross_out_total,dmesh_worker_cross_in_total,dmesh_worker_drain_pending_total,dmesh_worker_data_progressed_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_pe_progressed_total
lean,grpc,1024,matched,clean,3,True,8.526104853022844,53.02,160000,19999.0,1009.0,2105.0,331.375,2784931.0,641839.0,0.0,345778903.0,65740.0,255923.0,1664295.0,1008455.0,256986.0,256986.0,0.0,,0.0,641839.0,0.0,0.0,112181.0,1664295.0,345778903.0,255923.0
lean,grpc,64,capacity,clean,1,True,8.541861712001264,53.25,304431,36694.0,1768.0,2562.0,174.91648353814165,2599570.0,636758.0,0.0,71853619.0,65904.0,222120.0,1488242.0,994543.0,222387.0,222387.0,0.0,,0.0,636758.0,0.0,0.0,116785.0,1488242.0,71853619.0,222120.0
lean,grpc,64,capacity,clean,2,True,8.537148250965402,53.25,303301,36665.0,1768.0,2553.0,175.5681649582428,2600795.0,636890.0,0.0,71586724.0,66111.0,222315.0,1490712.0,992798.0,222585.0,222585.0,0.0,,0.0,636890.0,0.0,0.0,117285.0,1490712.0,71586724.0,222315.0
lean,grpc,64,capacity,clean,3,True,8.467932121013291,53.55,306241,36937.0,1762.0,2513.0,174.86228166705308,2595181.0,635520.0,0.0,72281469.0,65742.0,221434.0,1484020.0,995973.0,221701.0,221701.0,0.0,,0.0,635520.0,0.0,0.0,115188.0,1484020.0,72281469.0,221434.0
lean,grpc,64,capacity,profile,1,True,16.52197221806273,104.01,574918,35277.0,1811.0,2955.0,180.91275625393536,4889680.0,1186242.0,0.0,135693432.0,124301.0,425182.0,2826242.0,1846036.0,425651.0,425651.0,0.0,,0.0,1186242.0,0.0,0.0,217402.0,2826242.0,135693432.0,425182.0
lean,grpc,64,capacity,trace,1,True,12.519356947974302,78.42,411449,33452.0,1887.0,5441.0,190.5947031102275,3487340.0,842845.0,0.0,97112561.0,95747.0,302107.0,2020787.0,1315014.0,302465.0,302465.0,0.0,,0.0,842845.0,0.0,0.0,151539.0,2020787.0,97112561.0,302107.0
lean,grpc,64,matched,clean,1,True,8.522205081069842,52.81,159999,20000.0,958.0,1937.0,330.06456290351815,2881857.0,670460.0,0.0,37768263.0,65543.0,263661.0,1708064.0,1057097.0,263861.0,263861.0,0.0,,0.0,670460.0,0.0,0.0,116696.0,1708064.0,37768263.0,263661.0
lean,grpc,64,matched,clean,2,True,8.470869912067428,52.98,159999,20000.0,968.0,1941.0,331.1270695441847,2854473.0,662569.0,0.0,37768189.0,65514.0,261723.0,1694377.0,1044437.0,261911.0,261911.0,0.0,,0.0,662569.0,0.0,0.0,115659.0,1694377.0,37768189.0,261723.0
lean,grpc,64,matched,clean,3,True,8.516318361042067,52.78,159999,20000.0,963.0,2103.0,329.8770617316358,2867405.0,667485.0,0.0,37768165.0,65658.0,262397.0,1696494.0,1054714.0,262589.0,262589.0,0.0,,0.0,667485.0,0.0,0.0,116197.0,1696494.0,37768165.0,262397.0
lean,grpc,65536,capacity,clean,1,True,8.54767008102499,64.15,109270,13169.0,4844.0,7276.0,587.0778804795461,2970852.0,149746.0,8.0,14348059730.0,68020.0,1899595.0,2730772.0,208852.0,1479096.0,1479096.0,8.0,,0.0,149746.0,0.0,0.0,31228.0,2730772.0,14348059730.0,1899595.0
lean,grpc,65536,capacity,clean,2,True,8.54582721600309,64.28,108949,13120.0,4870.0,7253.0,590.0008260745853,2978778.0,152318.0,8.0,14305544799.0,70859.0,1895599.0,2734735.0,212063.0,1476296.0,1476296.0,8.0,,0.0,152318.0,0.0,0.0,31980.0,2734735.0,14305544799.0,1895599.0
lean,grpc,65536,capacity,clean,3,True,8.47998496494256,63.89,108006,13013.0,4914.0,7180.0,591.5412106734811,3006423.0,153908.0,8.0,14182070864.0,67760.0,1882041.0,2761757.0,211845.0,1466178.0,1466178.0,8.0,,0.0,153908.0,0.0,0.0,32821.0,2761757.0,14182070864.0,1882041.0
lean,grpc,65536,capacity,profile,1,True,16.543883592938073,126.33,212163,13016.0,4895.0,7368.0,595.4384129183694,5724908.0,280703.0,8.0,27859766761.0,131911.0,3692201.0,5275699.0,390357.0,2876120.0,2876120.0,8.0,,0.0,280703.0,0.0,0.0,58852.0,5275699.0,27859766761.0,3692201.0
lean,grpc,65536,capacity,stat,1,True,12.482946300995536,95.19,159660,12979.0,4896.0,7811.0,596.2044344231492,4333219.0,214079.0,8.0,20964257511.0,98267.0,2778712.0,3992500.0,295226.0,2164069.0,2164069.0,8.0,,0.0,214079.0,0.0,0.0,45493.0,3992500.0,20964257511.0,2778712.0
lean,grpc,65536,capacity,stat,2,True,12.516754930024035,94.91,159774,12988.0,4896.0,7758.0,594.0265625195589,4352598.0,217788.0,8.0,20979968937.0,98482.0,2780464.0,4005322.0,300494.0,2165385.0,2165385.0,8.0,,0.0,217788.0,0.0,0.0,46782.0,4005322.0,20979968937.0,2780464.0
lean,grpc,65536,capacity,stat,3,True,12.547741867019795,95.13,160647,13057.0,4887.0,7339.0,592.1679209695793,4366082.0,218438.0,8.0,21095120065.0,98717.0,2795260.0,4017647.0,301399.0,2176966.0,2176966.0,8.0,,0.0,218438.0,0.0,0.0,47036.0,4017647.0,21095120065.0,2795260.0
lean,grpc,65536,capacity,trace,1,True,12.453216330031864,84.18,105992,8616.0,6705.0,17836.0,794.2108838402899,2758900.0,124723.0,8.0,13916921380.0,96913.0,1867408.0,2555041.0,183172.0,1461742.0,1461742.0,8.0,,0.0,124723.0,0.0,0.0,20687.0,2555041.0,13916921380.0,1867408.0
lean,grpc,65536,matched,clean,1,True,8.465298135997728,15.42,16000,2000.0,1437.0,2550.0,963.75,1365636.0,262654.0,0.0,2100713368.0,46897.0,289664.0,883036.0,439400.0,199567.0,199567.0,0.0,,0.0,262654.0,0.0,0.0,43200.0,883036.0,2100713368.0,289664.0
lean,grpc,65536,matched,clean,2,True,8.520104226074181,15.59,16000,1999.0,1446.0,2601.0,974.375,1380202.0,267912.0,0.0,2100719988.0,50015.0,290157.0,887794.0,448583.0,200529.0,200529.0,0.0,,0.0,267912.0,0.0,0.0,43825.0,887794.0,2100719988.0,290157.0
lean,grpc,65536,matched,clean,3,True,8.463418566971086,15.44,16000,1999.0,1415.0,2553.0,965.0,1374806.0,265006.0,0.0,2100721020.0,46923.0,290234.0,888680.0,441953.0,200667.0,200667.0,0.0,,0.0,265006.0,0.0,0.0,44173.0,888680.0,2100721020.0,290234.0
lean,grpc,8192,capacity,clean,1,True,8.488698695902713,54.75,179462,21619.0,2946.0,4320.0,305.07851244274553,1425856.0,185519.0,1.0,2960495768.0,65615.0,418164.0,1093158.0,300431.0,426553.0,426553.0,1.0,,0.0,185519.0,0.0,0.0,32267.0,1093158.0,2960495768.0,418164.0
