arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
lean,grpc,8192,capacity,trace,1,18470.0,18470.0,18470.0,3407.0,3407.0,3407.0,6375.0,6375.0,6375.0,80.35,80.35,80.35,353.6282656150975,353.6282656150975,353.6282656150975,,,,1.0,1.0,1.0,535689.0,535689.0,535689.0,535689.0,535689.0,535689.0,3748365200.0,3748365200.0,3748365200.0,1.0,1.0,1.0,3748365200.0,3748365200.0,3748365200.0,1744413.0,1744413.0,1744413.0,223664.0,223664.0,223664.0
lean,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1695.0,1692.0,1698.0,2264.0,2264.0,2275.0,43.31,43.25,43.32,541.375,540.625,541.5,,,,0.0,0.0,0.0,317542.0,317377.0,317754.0,317542.0,317377.0,317754.0,1319774879.0,1319766721.0,1319774947.0,0.0,0.0,0.0,1319774879.0,1319766721.0,1319774947.0,3312003.0,3307984.0,3318769.0,761648.0,759132.0,764964.0
lean,grpc,65536,capacity,clean,3,13120.0,13013.0,13169.0,4870.0,4844.0,4914.0,7253.0,7180.0,7276.0,64.15,63.89,64.28,590.0008260745853,587.0778804795461,591.5412106734811,,,,8.0,8.0,8.0,1476296.0,1466178.0,1479096.0,1476296.0,1466178.0,1479096.0,14305544799.0,14182070864.0,14348059730.0,8.0,8.0,8.0,14305544799.0,14182070864.0,14348059730.0,2978778.0,2970852.0,3006423.0,152318.0,149746.0,153908.0
lean,grpc,65536,capacity,profile,1,13016.0,13016.0,13016.0,4895.0,4895.0,4895.0,7368.0,7368.0,7368.0,126.33,126.33,126.33,595.4384129183694,595.4384129183694,595.4384129183694,,,,8.0,8.0,8.0,2876120.0,2876120.0,2876120.0,2876120.0,2876120.0,2876120.0,27859766761.0,27859766761.0,27859766761.0,8.0,8.0,8.0,27859766761.0,27859766761.0,27859766761.0,5724908.0,5724908.0,5724908.0,280703.0,280703.0,280703.0
lean,grpc,65536,capacity,stat,3,12988.0,12979.0,13057.0,4896.0,4887.0,4896.0,7758.0,7339.0,7811.0,95.13,94.91,95.19,594.0265625195589,592.1679209695793,596.2044344231492,,,,8.0,8.0,8.0,2165385.0,2164069.0,2176966.0,2165385.0,2164069.0,2176966.0,20979968937.0,20964257511.0,21095120065.0,8.0,8.0,8.0,20979968937.0,20964257511.0,21095120065.0,4352598.0,4333219.0,4366082.0,217788.0,214079.0,218438.0
lean,grpc,65536,capacity,trace,1,8616.0,8616.0,8616.0,6705.0,6705.0,6705.0,17836.0,17836.0,17836.0,84.18,84.18,84.18,794.2108838402899,794.2108838402899,794.2108838402899,,,,8.0,8.0,8.0,1461742.0,1461742.0,1461742.0,1461742.0,1461742.0,1461742.0,13916921380.0,13916921380.0,13916921380.0,8.0,8.0,8.0,13916921380.0,13916921380.0,13916921380.0,2758900.0,2758900.0,2758900.0,124723.0,124723.0,124723.0
lean,grpc,65536,matched,clean,3,1999.0,1999.0,2000.0,1437.0,1415.0,1446.0,2553.0,2550.0,2601.0,15.44,15.42,15.59,965.0,963.75,974.375,,,,0.0,0.0,0.0,200529.0,199567.0,200667.0,200529.0,199567.0,200667.0,2100719988.0,2100713368.0,2100721020.0,0.0,0.0,0.0,2100719988.0,2100713368.0,2100721020.0,1374806.0,1365636.0,1380202.0,265006.0,262654.0,267912.0
lean,opaque,64,capacity,clean,3,134353.0,131532.0,139349.0,443.0,428.0,448.0,1116.0,1106.0,1144.0,25.05,24.76,25.98,23.34654284766311,23.327981725516395,23.553607763938817,,,,0.0,0.0,0.0,644524.0,631680.0,669018.0,644524.0,631680.0,669018.0,171674240.0,168195040.0,178189440.0,0.0,0.0,0.0,171674240.0,168195040.0,178189440.0,8915141.0,8739527.0,9251040.0,2383586.0,2341661.0,2471785.0
lean,opaque,64,capacity,trace,1,113907.0,113907.0,113907.0,520.0,520.0,520.0,1209.0,1209.0,1209.0,38.29,38.29,38.29,28.050871049508434,28.050871049508434,28.050871049508434,,,,0.0,0.0,0.0,820506.0,820506.0,820506.0,820506.0,820506.0,820506.0,218403200.0,218403200.0,218403200.0,0.0,0.0,0.0,218403200.0,218403200.0,218403200.0,11271166.0,11271166.0,11271166.0,3035498.0,3035498.0,3035498.0
lean,opaque,64,matched,clean,3,19999.0,19999.0,20000.0,259.0,248.0,273.0,483.0,478.0,492.0,12.44,12.4,12.55,77.75,77.5,78.4375,,,,0.0,0.0,0.0,318956.0,318346.0,319135.0,318956.0,318346.0,319135.0,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,4409093.0,4390921.0,4411611.0,1188879.0,1181706.0,1190394.0
lean,opaque,1024,capacity,clean,3,117052.0,116617.0,123579.0,502.0,474.0,504.0,1177.0,1162.0,1180.0,24.09,24.06,25.75,25.9759304806895,25.851231855250294,26.166305927303398,,,,0.0,0.0,0.0,560498.0,558474.0,592583.0,560498.0,558474.0,592583.0,1935876800.0,1928985760.0,2046907200.0,0.0,0.0,0.0,1935876800.0,1928985760.0,2046907200.0,8095215.0,8067249.0,8550839.0,2109811.0,2103175.0,2231736.0
lean,opaque,1024,capacity,trace,1,107429.0,107429.0,107429.0,561.0,561.0,561.0,1236.0,1236.0,1236.0,40.35,40.35,40.35,31.336568727269338,31.336568727269338,31.336568727269338,,,,0.0,0.0,0.0,775871.0,775871.0,775871.0,775871.0,775871.0,775871.0,2678276640.0,2678276640.0,2678276640.0,0.0,0.0,0.0,2678276640.0,2678276640.0,2678276640.0,10927531.0,10927531.0,10927531.0,2881334.0,2881334.0,2881334.0
lean,opaque,1024,matched,clean,3,19999.0,19999.0,19999.0,251.0,242.0,255.0,476.0,471.0,479.0,12.91,12.85,13.01,80.6875,80.3125,81.3125,,,,0.0,0.0,0.0,319319.0,319004.0,319349.0,319319.0,319004.0,319349.0,332800000.0,332800000.0,332800000.0,0.0,0.0,0.0,332800000.0,332800000.0,332800000.0,4498653.0,4494381.0,4502755.0,1203000.0,1200575.0,1203461.0
